월,전체,마트/생활잡화,약국,음/식료품,일식/양식/중식,제과/커피/패스트푸드,편의점,한식,병원,숙박,오락/공연/서점,스포츠/헬스시설,패션/잡화,레저/문화용품,백화점,여행
1월,6332640737692.0,1003478360543.0,247856260071.0,295676462353.0,315039980367.0,268474025166.0,354153756447.0,905214760200.0,1423914652933.0,70073452899.0,86029113254.0,77799437308.0,187998896237.0,56725696899.0,722069504290.0,318136378725.0
2월,5932515968411.0,948759163535.0,225663214321.0,319840095210.0,297047287192.0,259381585201.0,335440645001.0,829908792071.0,1259751487020.0,68245090207.0,82208225524.0,68945798382.0,202935314604.0,67821226919.0,721741010001.0,244827033223.0
3월,6485807988914.0,1075471935563.0,226465059864.0,288206384409.0,334475822291.0,293936557294.0,377763902691.0,971927811616.0,1223583779488.0,63719671653.0,100145810790.0,76533327166.0,251679623067.0,87586954592.0,788509371182.0,325801977248.0
4월,6353805931494.0,993212283316.0,236379879994.0,300281717820.0,318588760860.0,295016354338.0,390244863245.0,950479104971.0,1249091265181.0,60334170212.0,76309986682.0,70821266427.0,254498315350.0,89252680092.0,747429662510.0,321865620496.0
5월,6582981359536.0,1053614374621.0,233086499650.0,311492937857.0,334742684391.0,299435833002.0,403918297831.0,986595086447.0,1244444356676.0,73594475083.0,87327613359.0,71844231705.0,250646676545.0,98682587258.0,751349327129.0,382206377982.0
6월,6420582044963.0,1055543571334.0,224965151721.0,293944170875.0,325251149819.0,295799797026.0,403895018901.0,938373628638.0,1195299435931.0,66041569246.0,91057537772.0,73699485245.0,258800406164.0,83598727841.0,767081614027.0,347230780423.0
7월,6501115810935.0,1022782407886.0,243717465999.0,293103077778.0,314196197696.0,289318808714.0,401790471787.0,928027251187.0,1344271579316.0,61583198842.0,102051422958.0,81375950774.0,217861808867.0,70654646944.0,689375786190.0,441005735997.0
8월,6417870836496.0,1066040904358.0,242441930015.0,306553888329.0,320030825365.0,296597128847.0,407715716270.0,907200171739.0,1308988876037.0,67280995077.0,98825340217.0,74523649142.0,199694595789.0,71741213980.0,682502287958.0,367733313373.0
9월,6072131947286.0,1014641129447.0,222393647657.0,340682058880.0,294213317159.0,280018650769.0,390197640064.0,838513180386.0,1168303490772.0,59990232511.0,92489640609.0,63161281605.0,194566347021.0,74145043981.0,670911237429.0,367905048996.0
10월,6545272789577.0,999255427798.0,243524408619.0,284918357737.0,335760266481.0,294678856782.0,403422794960.0,949415046718.0,1309878159787.0,65563243129.0,85179461999.0,62851459490.0,238678968207.0,82277352619.0,743862322606.0,446006662645.0
11월,6503607974203.0,1039130737273.0,235806541224.0,285726048721.0,334697076344.0,279510920416.0,377000469563.0,929244071264.0,1319034068297.0,67047641355.0,75089545992.0,56781824051.0,237387597604.0,76488393012.0,770751071462.0,419911967625.0
12월,6844133676776.0,1030383107950.0,247832675812.0,293914808524.0,387409638315.0,287254267133.0,362651693315.0,983780434436.0,1395048083049.0,84275943920.0,89680293173.0,61969681142.0,232180172290.0,64917207057.0,883406938865.0,439428731795.0
