업종,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
마트/생활잡화,71.7653074648188,86.42847343228131,94.34346151310869,106.75033643687865,185.7261830548568,102.34207926515168,71.7653074648188,136.35615629910228,78.95050097685035,92.99256262496606,100.0,113.3937620081121,145.2867305652237,105.29905725487494,78.95050097685035,138.84433778197885,50.620822662988395,99.52877780054527,105.74408159410123,119.31287627061103,159.38020811415976,110.85952533887831,79.43118492063603,145.3263850316316
약국,10.099612425273767,68.50901050208633,95.8341656640298,110.20513413374849,350.992358060729,102.35803259195481,10.099612425273767,114.38960936815603,12.013198706795718,67.51570489162026,100.0,111.3113886037689,350.8421953069352,94.05523096579309,12.013198706795718,128.40761533562355,6.270709667885812,63.37550736017889,101.85940836307373,111.18443416722319,291.81450042090495,90.3179786021732,6.270709667885812,141.9925916894648
음/식료품,47.61358425137199,71.11177929478718,89.60155555676735,112.26530536429323,190.33941904376036,96.61166363015374,47.61358425137199,156.65255533495005,58.2325905417671,84.77360392918794,100.0,118.76871399347226,154.9156973845002,102.25195674659102,58.2325905417671,154.9156973845002,32.76067532050027,74.99460981682711,90.89430686465423,130.48484520555107,234.83585032350936,101.63725685302198,32.76067532050027,173.9453509412986
일식/양식/중식,65.58869012747002,86.0837519978314,98.45083538334319,112.95299676770023,177.39917735332142,103.82575349857895,65.58869012747002,137.01464619974715,72.03118261672743,84.67216967488294,100.0,113.54000132752982,155.65536708668913,102.74084593346838,72.03118261672743,155.65536708668913,51.618818475833514,83.30288284108337,94.61755747651355,108.62462933525039,150.31651025624785,97.75871417338863,51.618818475833514,135.8568955882465
제과/커피/패스트푸드,75.83190368585058,85.28982198464115,89.97982465978389,93.19475793356209,113.03168330501114,90.41122247170216,75.83190368585058,102.59794825207457,88.25126030957732,94.55661041443561,100.0,104.63931007733727,117.94202985103979,100.14550911841916,88.25126030957732,117.94202985103979,82.21432110943839,93.51541639480803,98.70373745735206,106.08134725368413,119.4444957008692,99.69853523172888,82.21432110943839,119.4444957008692
편의점,75.47185271024483,87.08601362501005,88.406918560351,91.02977953086248,96.14168972079995,88.4966927018188,81.26308294803425,96.14168972079995,88.53957974191957,98.57467292134535,100.0,102.44933302370424,118.02689425111252,100.78322405782727,94.45195359844335,107.30479849083967,82.00925857406892,100.54986577649703,103.93866192196364,106.239042030959,117.08635316602725,101.93734161861478,92.57521671511705,110.26313172152697
한식,80.18786998190978,89.69747364714097,94.80391542412399,102.4422525621828,142.6379997742305,98.76519687477926,80.18786998190978,118.27531094134306,84.97052143633795,94.24209543039899,100.0,114.5091676437365,129.21129008382647,102.90578176946885,84.97052143633795,129.21129008382647,48.450989579594385,86.78262275370348,95.44259105032378,107.0857882777317,129.80734747268954,95.74017597315978,68.30917013893793,129.80734747268954
병원,7.869962189896521,94.6531628673021,108.97788097483397,121.27988169229664,145.46594606479113,93.361717189645,90.24108398714334,145.46594606479113,6.450936044424339,85.0948793434928,100.0,117.76681715047022,125.69195239997013,89.98589638745355,80.22864676174487,125.69195239997013,3.328296283461677,81.51700553144082,104.20681227577492,112.41119654945182,125.2183744318241,86.46046798595987,76.58829506979906,125.2183744318241
숙박,76.55222231458,88.355168892404,108.93393279218402,180.07554345870338,246.9514941407066,134.4117488924544,76.55222231458,246.9514941407066,59.63275271123321,79.76443607714178,100.0,154.88953445447677,292.8066277723804,121.04793726845497,59.63275271123321,229.25852708688743,64.38619445756676,93.41918479573991,109.16579672380593,158.29682435054474,193.7603368630598,122.37429379300018,64.38619445756676,193.7603368630598
오락/공연/서점,74.43269743437058,84.19872514178212,91.64421493227039,123.11650472223413,180.69020689046505,106.24737779760154,74.43269743437058,180.69020689046505,64.80608878362688,81.26037273377375,100.0,128.4653290741858,153.26866250931454,103.18579586084896,64.80608878362688,153.26866250931454,88.66592287759238,111.72439831021077,131.1199622576055,139.97733619328153,173.28073168181527,128.79367029892757,88.66592287759238,173.28073168181527
스포츠/헬스시설,46.838836044902074,87.17660467580052,95.51729172593348,119.13069586138224,177.73477970762426,101.39876526955274,46.838836044902074,158.2430409192893,41.60992840443437,78.00461285734973,100.0,123.31779284376235,183.30134601276166,101.42423199193102,41.60992840443437,183.30134601276166,25.837723432486705,86.3493736448827,103.59895216690637,131.11421281641083,172.77522500227386,104.65956287857064,25.837723432486705,172.77522500227386
패션/잡화,49.883223324680834,68.8829457984195,77.11784902757424,93.47488502754359,137.5003253314231,82.72538167578453,49.883223324680834,126.94706406587528,69.56690911153878,85.80988950255295,100.0,121.40362726577159,139.00674146286613,101.70815682231972,69.56690911153878,139.00674146286613,29.391019349069158,67.49751577764567,78.70574872244501,96.43498284648149,136.86344667857503,82.48265534008426,29.391019349069158,136.86344667857503
레저/문화용품,42.59725701317882,54.307107485354955,67.50568473563438,92.61201043827006,161.77256560942496,76.17884751724282,42.59725701317882,134.51311245625365,67.26670718609077,87.01817373912584,100.0,143.24303667993829,216.6473718660922,113.67482239509084,67.26670718609077,216.6473718660922,54.04002464672808,70.00501176936496,87.76140657775457,108.2726230939532,173.45496111315293,92.18016097513944,54.04002464672808,139.9816744652161
백화점,71.13414252914092,91.32119334282132,113.02745013747699,155.16364575746377,223.1767559625939,125.09364968475087,71.13414252914092,223.1767559625939,53.28475281124986,82.52654237455556,100.0,159.49046131719766,222.34898866927372,117.99865216940304,53.28475281124986,222.34898866927372,12.502185339040931,84.60302358066905,99.92411887238109,138.82945539058701,169.21809723816423,107.04572109526853,12.502185339040931,169.21809723816423
여행,47.65226151646506,73.42279562013566,87.13371970324718,94.65881091589469,134.37711704999083,86.90754690515476,47.65226151646506,124.82342908619322,65.5585352884552,79.47504265238723,100.0,125.09400870388734,175.26154747724445,104.77413277492118,65.5585352884552,175.26154747724445,54.04738353084365,71.93991078371997,97.86257158328283,109.57042718447838,142.92953877891185,93.30506122073797,54.04738353084365,142.92953877891185
