업종중분류,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
가전/가구,7514,453421.5,1258632.0,4024089.0,6558086257,33129768.088984624,7514,9372884,13136,486087.0,1273589.0,3842988.75,8495356400,36665979.663479246,13136,8876201,14067,526244.0,1433713.0,4011596.25,7946504582,35226377.27124682,14067,9235275
기타유통,3219,180193.25,364421.0,1158980.25,6621836225,25968845.44607562,3219,2626664,2177,175152.0,353040.0,1083176.0,8433614233,29214942.518200494,2177,2443950,4879,180702.0,346708.5,1047746.75,3439517667,24685351.4840339,4879,2345338
기타요식,13418,619026.0,1459782.0,3413569.0,425794326,3505022.539349825,13418,7605248,15326,645463.0,1554472.0,3612506.0,845444891,3606647.4150634035,15326,8062456,15149,649770.0,1551656.0,3595547.5,586316448,3578549.295648422,15149,8013644
미용서비스,59340,539456.0,944645.0,1867820.0,97272508,1841306.6581405695,59340,3859626,43788,527980.0,925020.0,1786599.0,94052346,1766379.3130361114,43788,3674090,70333,541024.0,963022.0,1892032.0,116313887,1852227.7201883793,70333,3918512
백화점,47340,4575097.75,15156236.0,46504497.0,3176054033,59951884.95485399,47340,109261978,49261,4891221.0,16079483.0,48347098.0,3676069819,60717286.33357682,49261,113518181,51882,4719080.0,14630754.0,44963764.0,2650382229,54166512.8796694,51882,105231453
마트/생활잡화,11808,482896.0,1103079.0,2554647.0,943278167,3239479.955132891,11808,5661965,7239,479643.0,1090703.0,2501368.0,946766765,3215428.708831805,7239,5533921,5150,489626.0,1124572.0,2608438.0,918736634,3375126.792679484,5150,5786571
상품권/복권,9285,2103878.0,7225839.5,33780593.25,12735022392,87891309.6504959,9285,80974856,8170,1970458.0,7178573.0,38549541.5,12849179263,87267337.45501228,8170,93408332,16096,1949042.0,7168565.0,33208038.0,7959168024,51501241.421610646,16096,80010726
사무기기/컴퓨터,971,134988.0,313450.0,935042.25,3319377891,10235319.122859418,971,2134896,930,123014.0,280790.0,810562.5,3120817176,9682837.159555474,930,1841563,812,128764.0,305137.0,898179.0,3233733264,10597216.181109553,812,2052103
병원,8051,515720.0,1715389.0,5213978.5,1168608172,7711585.95075001,8051,12261061,13577,517638.0,1721414.0,5163973.5,1129278925,6966556.69573906,13577,12131192,8115,515612.0,1700491.5,5099165.0,806460223,7001750.8338646395,8115,11974262
생활서비스,21469,215782.0,329068.0,566025.5,255178792,975399.6664588713,21469,1091319,11494,222802.0,350304.0,602084.0,495183016,1125559.7587404936,11494,1170810,9738,198519.0,303060.0,516596.5,207208405,917479.196417336,9738,992779
숙박,10789,733660.0,1717804.5,4833254.25,316169712,5644630.671564669,10789,10976666,16096,684187.0,1564072.0,4188115.0,396964353,5518391.089089176,16096,9437240,13526,736755.5,1655543.0,4420001.0,313527373,4921556.757903098,13526,9939093
스포츠/문화/레저용품,8051,374922.0,826564.0,2444814.0,267816085,3036890.1740073767,8051,5549544,8165,392180.0,872584.5,2547128.25,251734486,3231889.926174935,8165,5777847,7425,381774.75,865638.0,2439844.75,216970270,3281140.8075566953,7425,5525746
스포츠/문화/레저,4358,233058.5,466418.0,1069851.0,225401005,1690231.8887816223,4358,2324515,2177,228792.0,462510.0,1064066.5,230066735,1686884.0355361595,2177,2316781,3165,238050.0,484016.0,1114509.0,436114914,1775975.633706088,3165,2429197
여행,13150,2699751.75,21017115.5,97676282.5,1388568121,86109866.74924925,13150,238954350,17515,3383973.0,21247271.0,96824071.5,1911483483,97880568.12172379,17515,236191258,10820,2748401.0,17656851.0,90143212.5,1551843166,88927002.02959883,10820,220868995
유흥,16184,134864.0,427692.5,1363294.0,124341872,1468628.544524388,16184,3204368,16329,132267.0,397346.0,1258224.0,76747655,1390025.8816906288,16329,2946798,16096,134134.0,394947.0,1225419.0,81424074,1359491.5861224853,16096,2862016
약국,23079,375067.0,835078.0,1740076.5,6744962399,2239770.399721009,23079,3787519,21228,359244.0,813797.5,1733949.5,6725564472,1968049.41236602,21228,3795594,16231,388455.0,867640.0,1798742.0,2773965419,1813936.5525423728,16231,3913766
음/식료품,8092,268365.0,546123.0,1140836.25,2017667762,1385549.714064036,8092,2449183,8709,246264.75,503835.0,1034103.0,1833856624,1288062.6101401453,8709,2215834,8048,248871.0,508581.5,1046881.0,2728060834,1366566.409484082,8048,2243896
자동차판매,10789,12968602.75,234807493.5,753149144.25,5777037673,559614536.2788944,10789,1828523844,80481,4377394.0,114943370.0,756396584.0,5920465316,578150105.1063584,80481,1878624890,81154,5386551.0,156761090.0,687438087.5,9720773354,526862228.39458853,81154,1704313026
자동차서비스/용품,3268,112207.0,311303.0,1304254.0,181931479,1660458.9518604395,3268,3091832,3284,117680.0,321143.0,1246315.0,236766733,1625928.0471395254,3284,2938292,2200,113615.0,324073.0,1394923.5,151002660,1704884.663036515,2200,3316606
일식/양식/중식,27362,513114.0,1017217.0,2261075.0,160274324,2293779.7117620767,27362,4882949,32659,509035.0,974314.0,2080896.0,135540768,2083314.0121548343,32659,4438301,28674,504345.0,968031.0,2089909.0,132839621,2096202.806183742,28674,4468120
주유,45603,1078912.0,2071775.0,4249337.5,526968079,3593623.2431493076,45603,9003744,59874,1088619.0,2075795.0,4292561.0,520794780,3629779.6851791507,59874,9096870,56158,1154565.0,2222284.5,4662624.75,537085094,3906020.813932073,56158,9924383
패션/잡화,7514,630351.25,1467370.0,3704099.5,336549743,4975129.341595681,7514,8313014,16968,706081.0,1591852.0,3772024.25,672964262,5124745.379058924,16968,8369414,11361,646271.0,1434171.0,3351642.0,545231830,4386773.8174327165,11361,7408130
제과/커피/패스트푸드,11701,221177.0,420236.0,828604.0,307442570,897636.158380677,11701,1739704,15785,228792.0,440891.0,872056.0,352523740,922065.8910217911,15785,1836936,13950,228312.0,435770.0,852574.5,369683122,929186.5115050253,13950,1788895
학습,4829,4448248.0,8987462.0,19484893.0,13342578733,26779993.52155517,4829,42039793,4899,4213283.5,8273506.0,17569915.0,6864981267,21697396.423528854,4899,37594539,4869,4175695.5,8272253.0,18016091.0,8336445720,23446241.812814735,4869,38750826
편의점,9171,456221.0,1251601.0,2608809.75,190235107,2106611.1018593223,9171,5837368,13617,485524.0,1370997.0,2879665.5,81914405,2289404.742980613,13617,6470374,16096,505046.0,1412573.0,2949855.0,93369391,2357511.8264655364,16096,6616937
화장품,20396,497754.5,1094929.0,2807368.75,124236678,3205278.912837838,20396,6266591,13034,477429.75,1021408.5,2462937.0,148300963,2853449.6783893984,13034,5436821,10843,454054.0,1042823.0,2640196.0,124129079,3036393.453587887,10843,5918794
한식,29131,1301569.25,3058715.0,6763697.0,265459973,6225023.546048186,29131,14955334,20684,1384266.0,3262202.0,7025044.5,230059757,6206643.627117264,20684,15486153,26401,1352559.0,3157930.0,6786651.5,220032419,6064125.561432249,26401,14937738
